Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh),Hydro per capita (kWh),Wind per capita (kWh),Solar per capita (kWh),Other renewables per capita (kWh),Continent
Africa,,1986,1427.11,1754.03,555.124,43.331,251.752,0.0,0.0,3.244,
Africa,,1987,1427.095,1791.603,557.152,29.514,234.773,0.0,0.0,3.149,
Africa,,1988,1491.435,1823.552,600.562,48.835,249.428,0.0,0.0,2.913,
Africa,,1989,1362.03,1839.484,605.483,50.253,254.8,0.0,0.0,2.794,
Africa,,1990,1392.576,1818.623,632.42,37.232,252.306,0.0,0.0,3.374,
Africa,,1991,1317.994,1783.141,620.437,39.237,260.258,0.0,0.0,3.381,
Africa,,1992,1291.627,1777.15,633.955,38.826,241.866,0.0,0.0,3.446,
Africa,,1993,1278.275,1752.08,605.167,29.555,230.912,0.008,0.0,3.73,
Africa,,1994,1278.399,1747.448,617.387,38.511,228.737,0.021,0.0,3.261,
Africa,,1995,1285.156,1763.623,643.055,43.766,231.468,0.024,0.0,3.953,
Africa,,1996,1270.876,1763.027,658.441,44.479,235.397,0.027,0.0,4.76,
Africa,,1997,1271.426,1766.69,629.497,46.608,235.318,0.027,0.0,5.118,
Africa,,1998,1212.148,1765.604,646.444,48.911,239.699,0.027,0.0,6.166,
Africa,,1999,1219.806,1784.949,636.788,45.051,248.066,0.069,0.0,5.953,
Africa,,2000,1187.785,1751.753,686.601,44.562,257.732,0.603,0.045,7.772,
Africa,,2001,1174.13,1731.814,773.456,35.602,268.58,1.382,0.054,7.757,
Africa,,2002,1097.268,1721.031,800.266,38.622,274.36,1.432,0.063,7.364,
Africa,,2003,1165.624,1724.581,829.724,39.551,258.843,1.69,0.072,8.191,
Africa,,2004,1251.104,1763.037,881.469,40.476,264.708,2.33,0.083,9.037,
Africa,,2005,1133.032,1806.821,892.163,33.156,261.502,2.297,0.095,8.852,
Africa,,2006,1120.907,1774.576,908.222,28.534,262.513,2.426,0.116,10.744,
Africa,,2007,1111.277,1788.601,942.93,31.215,262.973,2.803,0.147,8.68,
Africa,,2008,1194.265,1841.983,959.663,34.758,259.685,3.507,0.201,8.744,
Africa,,2009,1159.304,1861.258,943.456,33.163,258.349,4.117,0.254,9.226,
Africa,,2010,1120.119,1905.048,951.76,33.936,269.508,5.73,0.536,9.607,
Africa,,2011,1073.353,1806.28,1005.321,31.353,268.39,6.166,1.1,9.549,
Africa,,2012,1019.869,1856.003,1051.841,30.522,261.149,6.971,1.297,9.627,
Africa,,2013,1006.762,1873.157,1038.516,32.158,268.263,8.115,1.879,10.119,
Africa,,2014,1027.792,1855.962,1040.34,30.461,273.225,11.391,4.044,12.262,
Africa,,2015,945.946,1849.843,1086.402,26.18,256.427,19.016,7.693,15.267,
Africa,,2016,978.648,1819.385,1088.363,32.991,240.071,23.438,10.24,14.941,
Africa,,2017,950.433,1784.006,1125.914,31.659,248.781,25.032,14.033,15.212,
Africa,,2018,959.081,1757.783,1166.319,21.603,253.984,27.831,19.187,15.699,
Africa,,2019,949.748,1758.036,1147.711,26.908,251.272,33.143,36.683,15.493,
Algeria,DZA,1965,64.863,1227.413,592.025,0.0,88.528,0.0,0.0,0.0,Africa
Algeria,DZA,1966,61.291,1571.163,598.253,0.0,76.425,0.0,0.0,0.0,Africa
Algeria,DZA,1967,45.556,1426.896,564.087,0.0,85.792,0.0,0.0,0.0,Africa
Algeria,DZA,1968,46.813,1475.945,576.204,0.0,114.453,0.0,0.0,0.0,Africa
Algeria,DZA,1969,57.894,1515.143,736.147,0.0,71.311,0.0,0.0,0.0,Africa
Algeria,DZA,1970,66.733,1683.215,672.719,0.0,111.38,0.0,0.0,0.0,Africa
Algeria,DZA,1971,17.986,1845.083,742.974,0.0,61.637,0.0,0.0,0.0,Africa
Algeria,DZA,1972,15.217,1970.525,839.339,0.0,89.952,0.0,0.0,0.0,Africa
Algeria,DZA,1973,17.027,2094.231,1136.805,0.0,132.966,0.0,0.0,0.0,Africa
Algeria,DZA,1974,13.683,2262.918,1280.235,0.0,85.489,0.0,0.0,0.0,Africa
Algeria,DZA,1975,16.806,2446.454,1715.44,0.0,54.86,0.0,0.0,0.0,Africa
Algeria,DZA,1976,31.992,2734.272,1971.645,0.0,63.242,0.0,0.0,0.0,Africa
Algeria,DZA,1977,40.348,3003.272,2041.818,0.0,42.497,0.0,0.0,0.0,Africa
Algeria,DZA,1978,19.917,3016.683,3184.941,0.0,38.363,0.0,0.0,0.0,Africa
Algeria,DZA,1979,44.904,3502.717,4371.719,0.0,43.347,0.0,0.0,0.0,Africa
Algeria,DZA,1980,38.722,3444.1,5693.286,0.0,37.139,0.0,0.0,0.0,Africa
Algeria,DZA,1981,26.4,3597.817,7176.03,0.0,51.285,0.0,0.0,0.0,Africa
Algeria,DZA,1982,474.799,3694.983,7891.819,0.0,65.054,0.0,0.0,0.0,Africa
Algeria,DZA,1983,410.594,4022.959,8374.331,0.0,30.934,0.0,0.0,0.0,Africa
Algeria,DZA,1984,441.389,4319.155,7133.403,0.0,57.69,0.0,0.0,0.0,Africa
Algeria,DZA,1985,446.909,4304.292,6856.617,0.0,79.995,0.0,0.0,0.0,Africa
Algeria,DZA,1986,445.527,4242.98,7291.041,0.0,30.06,0.0,0.0,0.0,Africa
Algeria,DZA,1987,517.563,4168.445,7246.893,0.0,58.304,0.0,0.0,0.0,Africa
Algeria,DZA,1988,473.422,4057.304,7942.413,0.0,20.797,0.0,0.0,0.0,Africa
Algeria,DZA,1989,389.582,4139.917,7276.454,0.0,25.005,0.0,0.0,0.0,Africa
Algeria,DZA,1990,297.534,4340.685,7574.009,0.0,14.558,0.0,0.0,0.0,Africa
Algeria,DZA,1991,299.561,4190.45,7298.964,0.0,30.829,0.0,0.0,0.0,Africa
Algeria,DZA,1992,347.678,4117.683,7360.845,0.0,20.452,0.0,0.0,0.0,Africa
Algeria,DZA,1993,276.905,4007.634,6460.555,0.0,35.481,0.0,0.0,0.0,Africa
Algeria,DZA,1994,255.568,3758.807,6669.345,0.0,16.343,0.0,0.0,0.0,Africa
Algeria,DZA,1995,250.734,3586.563,7031.832,0.0,18.642,0.0,0.0,0.0,Africa
Algeria,DZA,1996,116.038,3363.021,7097.235,0.0,12.814,0.0,0.0,0.0,Africa
Algeria,DZA,1997,200.201,3282.907,6523.893,0.0,7.004,0.0,0.0,0.0,Africa
Algeria,DZA,1998,211.084,3333.847,6646.62,0.0,19.78,0.0,0.0,0.0,Africa
Algeria,DZA,1999,222.931,3229.547,6697.871,0.0,18.414,0.0,0.0,0.0,Africa
Algeria,DZA,2000,181.707,3322.356,6153.376,0.0,4.832,0.0,0.0,0.0,Africa
Algeria,DZA,2001,207.071,3394.869,6273.759,0.0,6.054,0.0,0.0,0.0,Africa
Algeria,DZA,2002,268.343,3716.758,6116.435,0.0,4.906,0.0,0.0,0.0,Africa
Algeria,DZA,2003,218.441,3817.698,6382.713,0.0,22.377,0.0,0.0,0.0,Africa
Algeria,DZA,2004,257.203,3938.179,6481.688,0.0,20.784,0.0,0.0,0.0,Africa
Algeria,DZA,2005,208.393,4048.672,6743.893,0.0,45.058,0.0,0.0,0.0,Africa
Algeria,DZA,2006,304.916,4157.006,6792.238,0.0,17.289,0.0,0.0,0.0,Africa
Algeria,DZA,2007,257.673,4577.227,6843.065,0.0,17.57,0.0,0.0,0.0,Africa
Algeria,DZA,2008,253.489,4892.345,7026.635,0.0,21.51,0.0,0.0,0.0,Africa
Algeria,DZA,2009,159.964,5098.052,7418.289,0.0,25.393,0.0,0.0,0.0,Africa
Algeria,DZA,2010,100.211,5004.558,7039.844,0.0,12.538,0.0,0.66,0.0,Africa
Algeria,DZA,2011,87.239,5243.387,7309.398,0.0,26.72,0.0,1.281,0.0,Africa
Algeria,DZA,2012,90.84,5467.458,7991.146,0.0,26.802,0.0,1.841,0.0,Africa
Algeria,DZA,2013,48.179,5599.805,8422.008,0.0,6.646,0.0,1.92,0.0,Africa
Algeria,DZA,2014,53.483,5701.504,9272.391,0.0,12.619,0.065,3.923,0.0,Africa
Algeria,DZA,2015,38.935,5944.137,9545.542,0.0,9.233,1.21,3.693,0.0,Africa
Algeria,DZA,2016,14.053,5658.09,9517.96,0.0,4.465,1.182,15.194,0.0,Africa
Algeria,DZA,2017,51.141,5444.019,9534.546,0.0,3.383,1.148,30.443,0.0,Africa
Algeria,DZA,2018,137.705,5455.005,10279.621,0.0,6.886,0.589,35.49,0.0,Africa
Algeria,DZA,2019,135.066,5688.969,10507.406,0.0,8.714,0.575,35.372,0.0,Africa
Argentina,ARG,1965,381.546,11739.147,1860.742,0.0,153.555,0.0,0.0,0.0,South America
Argentina,ARG,1966,309.941,11939.407,1985.295,0.0,153.251,0.0,0.0,0.0,South America
Argentina,ARG,1967,343.441,12054.266,2045.621,0.0,154.652,0.0,0.0,0.0,South America
Argentina,ARG,1968,328.861,12129.131,2244.459,0.0,179.606,0.0,0.0,0.0,South America
Argentina,ARG,1969,387.881,12415.256,2202.786,0.0,158.744,0.0,0.0,0.0,South America
Argentina,ARG,1970,490.876,10977.765,2451.512,0.0,180.874,0.0,0.0,5.53,South America
Argentina,ARG,1971,423.642,11540.616,2605.228,0.0,176.789,0.0,0.0,5.71,South America
Argentina,ARG,1972,350.923,11372.144,2876.911,0.0,169.463,0.0,0.0,7.251,South America
Argentina,ARG,1973,379.012,11227.575,3221.098,0.0,331.923,0.0,0.0,5.437,South America
Argentina,ARG,1974,464.454,11087.275,3354.979,113.023,548.53,0.0,0.0,5.462,South America
Argentina,ARG,1975,445.022,10281.469,3383.788,270.304,558.541,0.0,0.0,5.898,South America
Argentina,ARG,1976,443.274,10518.253,3750.784,272.014,530.174,0.0,0.0,5.309,South America
Argentina,ARG,1977,412.907,10923.817,3859.217,170.557,600.753,0.0,0.0,5.611,South America
Argentina,ARG,1978,495.887,10761.955,3697.954,297.271,795.734,0.0,0.0,5.557,South America
Argentina,ARG,1979,455.087,11213.603,3745.425,272.206,1077.905,0.0,0.0,8.534,South America
Argentina,ARG,1980,399.491,10332.959,4019.405,233.0,1507.929,0.0,0.0,8.588,South America
Argentina,ARG,1981,372.648,9429.9,4135.162,276.023,1439.419,0.0,0.0,7.324,South America
Argentina,ARG,1982,370.414,8901.588,4623.558,180.394,1697.152,0.0,0.0,9.252,South America
Argentina,ARG,1983,330.803,8917.303,4892.082,323.229,1748.477,0.0,0.0,13.035,South America
Argentina,ARG,1984,241.626,8272.117,5124.622,433.523,1857.022,0.0,0.0,9.098,South America
Argentina,ARG,1985,350.795,7363.776,5152.812,530.073,1898.003,0.0,0.0,9.498,South America
Argentina,ARG,1986,394.455,8325.374,5480.395,516.756,1900.986,0.0,0.0,9.689,South America
Argentina,ARG,1987,430.98,8747.538,5398.277,575.883,1945.533,0.0,0.0,9.634,South America
Argentina,ARG,1988,434.885,8589.772,6209.216,508.559,1318.588,0.0,0.0,10.623,South America
Argentina,ARG,1989,463.568,7676.678,6425.257,435.4,1120.254,0.0,0.0,10.315,South America
Argentina,ARG,1990,376.043,7156.666,6049.248,620.038,1522.291,0.0,0.0,9.092,South America
Argentina,ARG,1991,326.31,7270.55,6073.904,651.303,1362.144,0.0,0.0,8.364,South America
Argentina,ARG,1992,362.915,7576.847,6479.665,586.64,1638.637,0.0,0.0,8.439,South America
Argentina,ARG,1993,237.562,7407.35,6753.398,633.73,1926.168,0.0,0.0,8.785,South America
Argentina,ARG,1994,205.363,7070.288,6854.967,664.913,2258.589,0.0,0.0,9.632,South America
Argentina,ARG,1995,212.879,6945.601,7536.406,563.564,2269.737,0.0,0.0,9.219,South America
Argentina,ARG,1996,220.36,7133.416,8545.182,587.853,2044.771,0.758,0.0,27.694,South America
Argentina,ARG,1997,171.852,7059.736,7783.934,620.184,2573.126,1.137,0.0,34.716,South America
Argentina,ARG,1998,228.417,7134.515,8227.546,574.073,2497.313,2.506,0.001,35.731,South America
Argentina,ARG,1999,271.08,6569.383,8629.754,541.281,2020.86,2.649,0.002,49.547,South America
Argentina,ARG,2000,203.755,6562.796,8759.391,465.362,2564.047,2.619,0.003,50.854,South America
Argentina,ARG,2001,165.169,6253.742,8111.13,522.616,3102.324,3.654,0.003,45.112,South America
Argentina,ARG,2002,121.711,5702.289,7812.111,423.566,3017.358,5.341,0.003,61.868,South America
Argentina,ARG,2003,146.867,5806.135,8829.31,541.181,2795.323,5.576,0.005,72.535,South America
Argentina,ARG,2004,247.32,6044.047,9562.806,553.399,2489.761,5.095,0.005,63.315,South America
Argentina,ARG,2005,281.841,6358.137,10101.826,475.343,2721.488,4.96,0.006,74.284,South America
Argentina,ARG,2006,252.579,6616.451,10346.28,525.271,2967.807,4.738,0.006,106.633,South America
Argentina,ARG,2007,361.868,7276.462,10763.087,485.547,2526.197,4.123,0.007,105.47,South America
Argentina,ARG,2008,437.028,7409.067,10775.639,486.984,2450.005,2.763,0.009,111.54,South America
Argentina,ARG,2009,237.654,7183.791,10334.114,530.291,2642.9,2.387,0.005,112.03,South America
Argentina,ARG,2010,329.423,7978.622,10291.337,459.681,2584.858,1.616,0.005,128.357,South America
Argentina,ARG,2011,353.791,7907.878,10609.832,401.389,2486.164,1.668,0.101,137.363,South America
Argentina,ARG,2012,327.367,8136.297,10936.234,394.923,2274.787,22.816,0.504,151.37,South America
Argentina,ARG,2013,354.046,8630.906,10908.078,376.61,2469.473,27.507,0.915,149.1,South America
Argentina,ARG,2014,372.713,8374.522,10824.855,329.111,2439.028,36.975,0.952,137.4,South America
Argentina,ARG,2015,367.13,8526.77,10830.553,413.395,2453.175,34.846,0.862,139.673,South America
Argentina,ARG,2016,280.147,8259.944,11080.732,478.879,2211.133,31.638,0.825,113.486,South America
Argentina,ARG,2017,285.074,7963.56,10993.028,346.405,2363.783,34.798,0.934,135.629,South America
Argentina,ARG,2018,309.036,7536.168,10979.076,385.013,2333.375,79.151,6.058,139.634,South America
Argentina,ARG,2019,141.75,7354.191,10605.085,466.805,2049.652,276.258,44.22,132.562,South America
Australia,AUS,1965,17858.034,16009.691,2.605,0.0,1888.133,0.0,0.0,72.679,Oceania
Australia,AUS,1966,18061.68,18463.532,3.39,0.0,1759.934,0.0,0.0,68.049,Oceania
Australia,AUS,1967,18088.25,19696.467,3.303,0.0,1775.395,0.0,0.0,67.694,Oceania
Australia,AUS,1968,18147.89,20897.609,24.932,0.0,1807.854,0.0,0.0,64.124,Oceania
Australia,AUS,1969,18314.399,20964.001,329.619,0.0,1926.877,0.0,0.0,62.35,Oceania
Australia,AUS,1970,18111.047,22683.941,1352.614,0.0,2208.39,0.0,0.0,56.672,Oceania
Australia,AUS,1971,17844.674,23443.935,1981.639,0.0,2452.631,0.0,0.0,56.054,Oceania
Australia,AUS,1972,18342.702,23484.869,2799.327,0.0,2423.178,0.0,0.0,58.727,Oceania
Australia,AUS,1973,18834.597,24709.144,3504.232,0.0,2540.75,0.0,0.0,69.899,Oceania
Australia,AUS,1974,19408.324,25851.495,3946.938,0.0,2832.478,0.0,0.0,87.584,Oceania
Australia,AUS,1975,19788.128,25274.435,4187.179,0.0,3002.617,0.0,0.0,98.623,Oceania
Australia,AUS,1976,20220.429,25532.561,4884.994,0.0,2821.204,0.0,0.0,96.473,Oceania
Australia,AUS,1977,20874.249,26438.732,5518.236,0.0,2669.56,0.0,0.0,84.557,Oceania
Australia,AUS,1978,21184.739,26339.695,5875.882,0.0,2860.895,0.0,0.0,78.953,Oceania
Australia,AUS,1979,21892.869,26490.52,6686.69,0.0,2745.605,0.0,0.0,80.56,Oceania
Australia,AUS,1980,22262.418,25101.823,7586.096,0.0,2564.248,0.0,0.0,73.31,Oceania
Australia,AUS,1981,22544.438,23979.401,8116.971,0.0,2606.595,0.0,0.0,75.944,Oceania
Australia,AUS,1982,22476.856,23765.077,7809.662,0.0,2368.194,0.0,0.0,95.69,Oceania
Australia,AUS,1983,22149.116,23022.309,8362.943,0.0,2216.31,0.0,0.0,78.791,Oceania
Australia,AUS,1984,23076.124,23761.034,8125.356,0.0,2364.067,0.0,0.0,79.427,Oceania
Australia,AUS,1985,23502.246,22348.897,8551.63,0.0,2472.145,0.0,0.0,80.865,Oceania
Australia,AUS,1986,23714.437,22508.066,9192.7,0.0,2447.58,0.0,0.0,80.273,Oceania
Australia,AUS,1987,24307.077,22561.023,9231.583,0.0,2336.781,0.0,0.0,80.675,Oceania
Australia,AUS,1988,25149.782,23245.074,9299.387,0.0,2420.249,0.0,0.0,123.423,Oceania
Australia,AUS,1989,25963.784,23703.177,9984.191,0.0,2368.886,0.0,0.0,134.618,Oceania
Australia,AUS,1990,26198.195,23697.995,9890.903,0.0,2417.23,0.0,0.0,124.387,Oceania
Australia,AUS,1991,26369.437,22737.037,9356.05,0.0,2529.64,0.0,0.881,116.273,Oceania
Australia,AUS,1992,26201.511,22558.025,9560.378,0.0,2544.649,0.0,1.931,106.948,Oceania
Australia,AUS,1993,26068.81,23432.715,9799.101,0.0,2585.893,0.316,2.304,105.727,Oceania
Australia,AUS,1994,26308.459,24054.306,10762.78,0.0,2520.431,0.858,2.716,108.698,Oceania
Australia,AUS,1995,26908.634,24540.76,10749.505,0.0,2413.132,1.081,3.265,127.442,Oceania
Australia,AUS,1996,27706.786,24655.244,10711.242,0.0,2438.671,1.069,3.91,144.547,Oceania
Australia,AUS,1997,28795.277,24829.228,10404.373,0.0,2409.993,1.133,4.63,150.62,Oceania
Australia,AUS,1998,29756.484,24531.86,10596.297,0.0,2360.971,2.69,5.32,161.553,Oceania
Australia,AUS,1999,31263.031,25023.83,10737.742,0.0,2407.197,6.357,6.003,167.586,Oceania
Australia,AUS,2000,31150.759,24625.264,10823.599,0.0,2408.526,19.6,6.838,130.106,Oceania
Australia,AUS,2001,30508.589,24519.271,11549.537,0.0,2318.141,41.263,7.785,114.66,Oceania
Australia,AUS,2002,30864.132,24179.232,11759.618,0.0,2274.702,75.406,8.24,179.036,Oceania
Australia,AUS,2003,31387.317,23888.84,11717.442,0.0,2250.479,97.742,8.774,234.869,Oceania
Australia,AUS,2004,32285.242,24249.48,11797.595,0.0,2136.011,108.253,9.933,383.345,Oceania
Australia,AUS,2005,31623.442,23733.258,11526.34,0.0,2061.589,173.164,11.204,516.007,Oceania
Australia,AUS,2006,31930.863,25240.913,12639.133,0.0,1946.196,281.555,12.697,512.102,Oceania
Australia,AUS,2007,31063.726,24476.349,13874.469,0.0,1657.167,362.206,14.446,542.909,Oceania
Australia,AUS,2008,31746.734,24029.624,13376.608,0.0,1462.08,427.97,17.225,457.378,Oceania
Australia,AUS,2009,30103.901,23427.389,13395.457,0.0,1524.799,535.251,35.007,336.125,Oceania
Australia,AUS,2010,27412.706,22795.049,15248.771,0.0,1617.731,586.672,115.057,287.34,Oceania
Australia,AUS,2011,26266.418,23863.694,15654.943,0.0,2250.429,739.565,235.086,295.958,Oceania
Australia,AUS,2012,24205.313,24392.788,15451.759,0.0,1915.851,868.745,271.251,348.381,Oceania
Australia,AUS,2013,22626.371,24458.22,15985.17,0.0,2101.59,1019.363,423.577,366.796,Oceania
Australia,AUS,2014,22114.762,24361.866,16994.384,0.0,1562.151,1054.484,534.091,382.488,Oceania
Australia,AUS,2015,22578.603,23170.477,17594.436,0.0,1488.903,1251.401,656.064,388.794,Oceania
Australia,AUS,2016,22255.982,23042.517,17197.422,0.0,1827.385,1350.151,774.744,378.647,Oceania
Australia,AUS,2017,21211.492,23779.767,16775.38,0.0,1373.008,1341.798,910.864,359.021,Oceania
Australia,AUS,2018,20578.972,24088.36,16638.833,0.0,1732.504,1638.239,1225.746,354.804,Oceania
Australia,AUS,2019,19652.769,23616.222,21322.988,0.0,1404.387,1918.297,1763.675,351.339,Oceania
Austria,AUT,1965,8092.395,8938.744,2399.543,0.0,6115.679,0.0,0.0,0.0,Europe
Austria,AUT,1966,7680.582,9764.542,2559.99,0.0,6548.11,0.0,0.0,0.0,Europe
Austria,AUT,1967,7226.03,10348.543,2437.704,0.0,6646.093,0.0,0.0,0.0,Europe
Austria,AUT,1968,7093.243,11890.61,2584.541,0.0,6789.507,0.0,0.0,0.0,Europe
Austria,AUT,1969,6944.303,12999.876,3119.291,0.0,6209.243,0.0,0.0,0.0,Europe
Austria,AUT,1970,7431.375,14242.114,3765.038,0.0,7868.295,0.0,0.0,0.0,Europe
Austria,AUT,1971,6785.914,15842.003,4305.52,0.0,6188.416,0.0,0.0,0.0,Europe
Austria,AUT,1972,6127.678,17032.447,4633.924,0.0,6334.408,0.0,0.0,0.0,Europe
Austria,AUT,1973,6069.378,18394.626,5075.75,0.0,7014.451,0.0,0.0,0.0,Europe
Austria,AUT,1974,6389.04,16421.162,5488.068,0.0,8272.947,0.0,0.0,0.0,Europe
Austria,AUT,1975,5543.413,16569.699,5472.853,0.0,8653.814,0.0,0.0,0.0,Europe
Austria,AUT,1976,5897.139,17983.437,6230.88,0.0,7476.34,0.0,0.0,0.0,Europe
Austria,AUT,1977,4949.628,17230.149,6353.329,0.0,9064.358,0.0,0.0,0.0,Europe
Austria,AUT,1978,5034.38,18559.23,6616.188,0.0,9082.336,0.0,0.0,0.0,Europe
Austria,AUT,1979,5472.059,19350.076,6568.707,0.0,10245.042,0.0,0.0,0.0,Europe
Austria,AUT,1980,5628.746,18907.696,6317.216,0.0,10625.611,0.0,0.0,0.0,Europe
Austria,AUT,1981,5765.948,17176.988,6025.527,0.0,11267.194,0.0,0.0,0.0,Europe
Austria,AUT,1982,5486.134,16298.46,5834.688,0.0,11289.545,0.0,0.0,0.0,Europe
Austria,AUT,1983,5873.454,15793.75,5952.531,0.0,11182.108,0.0,0.0,0.0,Europe
Austria,AUT,1984,6689.422,15354.089,6624.153,0.0,9804.415,0.0,0.0,0.0,Europe
Austria,AUT,1985,6673.019,15362.576,7090.17,0.0,11226.078,0.0,0.0,0.0,Europe
Austria,AUT,1986,5941.316,16159.79,6874.925,0.0,11258.27,0.0,0.0,469.035,Europe
Austria,AUT,1987,5882.901,16606.944,7158.767,0.0,12868.183,0.0,0.0,329.383,Europe
Austria,AUT,1988,5618.739,16448.371,6839.675,0.0,12804.151,0.0,0.0,379.713,Europe
Austria,AUT,1989,5623.532,16160.05,7318.832,0.0,12677.413,0.0,0.0,399.105,Europe
Austria,AUT,1990,6167.866,16725.833,8018.508,0.0,11331.573,0.0,0.0,410.872,Europe
Austria,AUT,1991,6428.954,17941.026,8447.735,0.0,11236.697,0.0,0.0,438.067,Europe
Austria,AUT,1992,4965.146,17341.798,8234.234,0.0,12361.281,0.0,0.0,471.476,Europe
Austria,AUT,1993,4429.648,17349.583,8592.563,0.0,12919.407,0.0,0.352,479.076,Europe
Austria,AUT,1994,4461.366,17081.146,8777.092,0.0,12481.135,0.0,0.35,423.135,Europe
Austria,AUT,1995,5048.645,16949.929,9531.567,0.0,12886.682,0.348,0.348,645.676,Europe
Austria,AUT,1996,5052.41,17473.727,10109.871,0.0,11853.932,1.732,0.346,550.652,Europe
Austria,AUT,1997,5349.006,17714.307,9725.604,0.0,12485.064,6.916,0.692,591.792,Europe
Austria,AUT,1998,4704.642,18372.868,9974.799,0.0,12838.15,15.545,0.691,636.591,Europe
Austria,AUT,1999,4666.494,18034.233,10176.089,0.0,14042.132,17.596,0.69,550.971,Europe
Austria,AUT,2000,5264.474,17618.361,9692.058,0.0,14402.061,23.065,1.033,526.115,Europe
Austria,AUT,2001,5418.766,19049.431,10234.876,0.0,13786.949,58.616,1.704,568.379,Europe
Austria,AUT,2002,5480.667,19365.258,10017.88,0.0,13560.356,68.43,3.034,512.535,Europe
Austria,AUT,2003,5815.525,20846.908,10962.548,0.0,11067.715,121.956,4.998,570.437,Europe
Austria,AUT,2004,5668.291,20186.278,11012.828,0.0,12110.967,304.403,5.93,678.557,Europe
Austria,AUT,2005,5626.131,20013.867,11543.148,0.0,12088.843,433.846,6.85,794.238,Europe
Austria,AUT,2006,5600.242,19924.345,10806.527,0.0,11503.587,565.497,7.223,1044.503,Europe
Austria,AUT,2007,5395.673,18678.043,10188.72,0.0,11838.582,650.863,7.744,1297.649,Europe
Austria,AUT,2008,5312.448,18433.979,10870.969,0.0,12129.036,636.445,9.531,1361.427,Europe
Austria,AUT,2009,3987.915,17439.668,10548.096,0.0,12813.779,612.247,15.326,1340.393,Europe
Austria,AUT,2010,4668.337,18127.58,11430.226,0.0,11893.864,639.878,27.535,1383.803,Europe
Austria,AUT,2011,4769.301,16834.1,10695.309,0.0,10495.553,593.528,53.359,1384.553,Europe
Austria,AUT,2012,4405.42,16730.404,10143.67,0.0,13270.859,745.895,102.244,1396.047,Europe
Austria,AUT,2013,4452.588,17154.689,9584.464,0.0,12581.735,943.553,187.312,1371.771,Europe
Austria,AUT,2014,4050.562,16342.488,8718.493,0.0,12114.627,1136.058,231.965,1280.963,Europe
Austria,AUT,2015,4345.388,16154.11,9180.898,0.0,10800.984,1410.868,273.146,1312.698,Europe
Austria,AUT,2016,3999.042,16586.774,9537.209,0.0,11455.504,1505.035,315.109,1348.745,Europe
Austria,AUT,2017,4110.208,16683.376,10283.289,0.0,10854.156,1862.675,359.686,1394.824,Europe
Austria,AUT,2018,3736.149,16774.909,9770.471,0.0,10521.294,1685.741,401.877,1356.765,Europe
Austria,AUT,2019,3903.517,17001.748,9939.082,0.0,11263.087,2056.042,373.735,1323.59,Europe
Azerbaijan,AZE,1985,160.51,14579.302,19891.963,0.0,546.956,0.0,0.0,0.0,Asia
Azerbaijan,AZE,1986,157.835,15019.539,21733.438,0.0,329.585,0.0,0.0,0.0,Asia
Azerbaijan,AZE,1987,155.224,13902.072,21110.218,0.0,324.134,0.0,0.0,0.0,Asia
Azerbaijan,AZE,1988,152.634,14000.475,20498.501,0.0,276.694,0.0,0.0,0.0,Asia
