id,class,type,rarity,type_or_school
62976,Paladin,Minion,Legendary,Normal
64278,Warrior,Minion,Rare,Pirate
62993,Paladin,Minion,Legendary,Normal
61188,Paladin,Minion,Rare,Normal
60926,Neutral,Minion,Epic,Normal
61581,Paladin,Minion,Common,Mech
58782,Hunter,Spell,Common,Normal
61254,Warlock,Spell,Epic,Normal
64371,Paladin,Minion,Rare,Normal
63040,Druid,Spell,Epic,Arcane
63673,Mage,Weapon,Rare,Normal
61604,Druid,Spell,Epic,Nature
69598,Druid,Minion,Legendary,Normal
59408,Warrior,Weapon,Epic,Normal
59408,Paladin,Weapon,Epic,Normal
63065,Shaman,Spell,Epic,Nature
64665,Demon Hunter,Spell,Rare,Fel
69505,Demon Hunter,Spell,Common,Fel
69558,Demon Hunter,Spell,Common,Fel
64356,Shaman,Spell,Rare,Nature
64721,Neutral,Minion,Epic,Normal
69543,Neutral,Minion,Common,Normal
61428,Neutral,Minion,Common,All
60979,Neutral,Minion,Common,Normal
64724,Neutral,Minion,Common,Normal
64523,Paladin,Spell,Common,Normal
61626,Neutral,Minion,Common,Mech
63464,Priest,Minion,Common,Normal
61154,Rogue,Spell,Epic,Shadow
69720,Neutral,Minion,Epic,Mech
64433,Mage,Minion,Epic,Normal
59402,Rogue,Spell,Rare,Normal
59402,Warrior,Spell,Rare,Normal
69715,Neutral,Minion,Common,Normal
60280,Demon Hunter,Minion,Rare,Normal
69620,Rogue,Spell,Common,Normal
69697,Mage,Minion,Epic,Dragon
69666,Neutral,Minion,Rare,Murloc
59540,Mage,Spell,Epic,Fire
64322,Shaman,Spell,Legendary,Normal
59602,Warrior,Spell,Rare,Normal
59602,Paladin,Spell,Rare,Normal
64385,Druid,Spell,Epic,Nature
62878,Priest,Spell,Epic,Holy
63128,Warrior,Spell,Rare,Normal
69606,Mage,Spell,Common,Frost
61176,Mage,Minion,Common,Elemental
61957,Mage,Spell,Common,Arcane
69532,Paladin,Spell,Common,Holy
62947,Paladin,Spell,Epic,Holy
65700,Shaman,Minion,Legendary,Murloc
69504,Demon Hunter,Spell,Common,Normal
65678,Priest,Minion,Rare,Beast
64728,Neutral,Minion,Legendary,Normal
56512,Warrior,Spell,Rare,Normal
61297,Neutral,Minion,Common,Normal
64013,Rogue,Weapon,Epic,Normal
69607,Mage,Spell,Rare,Arcane
64196,Warrior,Minion,Rare,Normal
61969,Neutral,Minion,Common,Murloc
59639,Mage,Spell,Rare,Arcane
69661,Neutral,Minion,Rare,Normal
62498,Priest,Minion,Rare,Normal
58973,Neutral,Minion,Common,Dragon
58170,Demon Hunter,Minion,Common,Normal
69683,Demon Hunter,Minion,Common,Normal
63019,Neutral,Minion,Common,Normal
62584,Neutral,Minion,Epic,Normal
65609,Demon Hunter,Minion,Common,Demon
69644,Warrior,Minion,Common,Normal
60043,Neutral,Minion,Rare,Normal
56379,Rogue,Minion,Common,Normal
60023,Rogue,Spell,Common,Normal
60023,Warrior,Spell,Common,Normal
59092,Demon Hunter,Spell,Rare,Normal
61679,Hunter,Minion,Common,Beast
64894,Warlock,Spell,Rare,Shadow
61945,Priest,Minion,Legendary,Normal
69659,Neutral,Minion,Common,Normal
64443,Priest,Minion,Legendary,Normal
56523,Warlock,Minion,Epic,Demon
61639,Neutral,Minion,Common,Mech
61629,Neutral,Minion,Epic,Beast
61677,Neutral,Minion,Common,Normal
61699,Hunter,Minion,Rare,Mech
62745,Neutral,Minion,Common,Normal
61218,Paladin,Spell,Common,Normal
69522,Rogue,Spell,Common,Nature
69605,Hunter,Spell,Common,Normal
63167,Demon Hunter,Minion,Legendary,Quilboar
62744,Neutral,Minion,Common,Quilboar
61228,Shaman,Spell,Epic,Normal
61950,Neutral,Minion,Epic,Normal
66872,Neutral,Minion,Legendary,Dragon
61885,Warlock,Spell,Legendary,Shadow
61587,Mage,Spell,Legendary,Normal
57950,Mage,Spell,Rare,Frost
64707,Neutral,Minion,Common,Normal
65683,Mage,Minion,Rare,Pirate
64637,Hunter,Spell,Legendary,Normal
69663,Neutral,Minion,Rare,Normal
65601,Hunter,Minion,Common,Pirate
65692,Warrior,Minion,Common,Pirate
65677,Priest,Minion,Common,Pirate
59394,Demon Hunter,Spell,Rare,Normal
59394,Hunter,Spell,Rare,Normal
64897,Warlock,Spell,Common,Fel
59628,Warlock,Spell,Common,Shadow
60892,Neutral,Minion,Rare,Normal
59599,Neutral,Minion,Common,Demon
62873,Priest,Spell,Common,Holy
63502,Druid,Minion,Rare,Beast
58976,Shaman,Spell,Epic,Arcane
58976,Mage,Spell,Epic,Arcane
63400,Neutral,Minion,Common,Normal
62875,Priest,Spell,Common,Shadow
65044,Hunter,Spell,Rare,Normal
63346,Priest,Minion,Rare,Normal
59584,Paladin,Minion,Epic,Normal
59584,Priest,Minion,Epic,Normal
58977,Shaman,Minion,Rare,Normal
69693,Hunter,Spell,Common,Normal
69668,Neutral,Minion,Common,Beast
56526,Rogue,Spell,Common,Normal
59623,Warlock,Minion,Legendary,Normal
59623,Priest,Minion,Legendary,Normal
57188,Neutral,Minion,Common,Demon
59595,Neutral,Minion,Common,Elemental
59690,Rogue,Minion,Legendary,Normal
59690,Warrior,Minion,Legendary,Normal
65603,Hunter,Spell,Rare,Normal
61846,Hunter,Spell,Epic,Normal
69630,Shaman,Weapon,Epic,Normal
59606,Demon Hunter,Spell,Common,Normal
58974,Priest,Spell,Common,Normal
69732,Shaman,Minion,Rare,Normal
56681,Priest,Minion,Rare,Normal
56632,Priest,Minion,Rare,Normal
57186,Neutral,Minion,Common,Dragon
69735,Warlock,Spell,Common,Shadow
69520,Warlock,Minion,Common,Demon
64896,Warlock,Spell,Epic,Normal
61133,Demon Hunter,Weapon,Common,Normal
61963,Druid,Minion,Common,Dragon
69595,Druid,Minion,Common,Normal
63038,Druid,Minion,Epic,Beast
65580,Druid,Minion,Common,Normal
61223,Shaman,Spell,Rare,Nature
61262,Warrior,Minion,Legendary,Normal
69627,Shaman,Minion,Epic,Elemental
63508,Shaman,Minion,Rare,Elemental
69647,Neutral,Minion,Common,Normal
60090,Neutral,Minion,Epic,Beast
65645,Rogue,Minion,Legendary,Pirate
62891,Rogue,Minion,Common,Mech
64416,Priest,Spell,Rare,Normal
69565,Neutral,Minion,Common,Normal
64723,Neutral,Minion,Epic,Beast
72248,Neutral,Minion,Common,Beast
59627,Neutral,Minion,Epic,Normal
69687,Druid,Minion,Common,Beast
64008,Neutral,Minion,Rare,Beast
56516,Warlock,Minion,Rare,Demon
66259,Warlock,Minion,Common,Demon
64717,Neutral,Minion,Epic,Normal
64898,Warlock,Minion,Epic,Normal
63821,Neutral,Minion,Rare,Normal
61942,Warlock,Minion,Legendary,Demon
69614,Paladin,Spell,Rare,Holy
57184,Neutral,Minion,Common,Normal
69701,Mage,Minion,Common,Normal
56389,Mage,Spell,Legendary,Arcane
69535,Warrior,Spell,Common,Normal
61130,Demon Hunter,Spell,Epic,Normal
69717,Neutral,Minion,Common,Mech
69603,Hunter,Spell,Common,Fire
69740,Demon Hunter,Spell,Epic,Fel
69676,Neutral,Minion,Epic,Normal
61462,Druid,Minion,Common,Normal
61268,Priest,Minion,Common,Normal
69696,Mage,Minion,Rare,Normal
63329,Druid,Minion,Common,Normal
61298,Neutral,Minion,Common,Elemental
62583,Neutral,Minion,Common,Normal
69590,Demon Hunter,Spell,Rare,Shadow
61263,Warrior,Spell,Rare,Normal
64393,Demon Hunter,Spell,Common,Fel
60164,Demon Hunter,Spell,Common,Fel
59864,Demon Hunter,Minion,Common,Normal
56393,Neutral,Minion,Common,Murloc
61968,Demon Hunter,Minion,Common,Normal
61968,Hunter,Minion,Common,Normal
64396,Demon Hunter,Minion,Epic,Demon
59726,Warlock,Spell,Epic,Fel
59726,Demon Hunter,Spell,Epic,Fel
63407,Demon Hunter,Minion,Common,Beast
61940,Demon Hunter,Minion,Common,Demon
61127,Demon Hunter,Spell,Common,Fel
62350,Warlock,Minion,Epic,Demon
61271,Demon Hunter,Minion,Epic,Elemental
69688,Druid,Spell,Common,Normal
69626,Shaman,Spell,Rare,Normal
62888,Rogue,Minion,Rare,Normal
69734,Warlock,Spell,Common,Fel
69534,Warrior,Weapon,Common,Normal
63369,Warlock,Spell,Common,Shadow
64375,Demon Hunter,Spell,Legendary,Normal
64678,Rogue,Spell,Legendary,Normal
61202,Warlock,Minion,Rare,Demon
69516,Shaman,Minion,Common,Elemental
64423,Mage,Spell,Common,Fire
69501,Mage,Spell,Common,Fire
59000,Mage,Minion,Common,Normal
63272,Shaman,Minion,Legendary,Murloc
61177,Mage,Minion,Common,Elemental
64007,Paladin,Minion,Epic,Normal
59038,Paladin,Spell,Common,Normal
64430,Mage,Spell,Rare,Fire
59911,Neutral,Minion,Common,Murloc
61460,Druid,Minion,Rare,Elemental
69636,Warlock,Minion,Common,Demon
69502,Mage,Spell,Epic,Fire
69707,Priest,Spell,Common,Holy
61674,Neutral,Minion,Common,Beast
59585,Warlock,Minion,Epic,Normal
59585,Priest,Minion,Epic,Normal
69680,Neutral,Minion,Common,Normal
64727,Neutral,Minion,Legendary,Normal
63520,Mage,Minion,Common,Normal
64708,Neutral,Minion,Common,Normal
62804,Mage,Spell,Rare,Frost
66860,Priest,Spell,Rare,Normal
66854,Neutral,Minion,Rare,Pirate
56460,Mage,Spell,Rare,Arcane
69597,Druid,Spell,Epic,Nature
59555,Druid,Minion,Legendary,Normal
61643,Priest,Minion,Common,Mech
61151,Rogue,Minion,Common,Normal
59579,Priest,Minion,Common,Normal
61205,Warlock,Spell,Rare,Normal
69604,Hunter,Spell,Common,Frost
63058,Mage,Minion,Rare,Normal
69645,Warrior,Minion,Rare,Normal
57174,Neutral,Minion,Common,Normal
56677,Druid,Spell,Rare,Nature
58495,Demon Hunter,Minion,Rare,Murloc
63682,Demon Hunter,Spell,Common,Fel
61437,Priest,Minion,Legendary,Normal
69664,Neutral,Minion,Rare,Normal
63323,Paladin,Spell,Common,Normal
61178,Mage,Minion,Common,Normal
64465,Demon Hunter,Minion,Common,Demon
64014,Rogue,Spell,Epic,Normal
56678,Druid,Spell,Rare,Nature
59001,Druid,Minion,Common,Normal
58791,Paladin,Spell,Rare,Holy
58791,Priest,Spell,Rare,Holy
61958,Mage,Minion,Rare,Normal
60153,Demon Hunter,Spell,Rare,Normal
56687,Druid,Spell,Epic,Normal
65702,Neutral,Minion,Common,Pirate
62702,Neutral,Minion,Common,Normal
64710,Neutral,Minion,Rare,Normal
65705,Neutral,Minion,Legendary,Mech
59594,Paladin,Minion,Rare,Normal
69642,Warrior,Weapon,Epic,Normal
61162,Rogue,Minion,Legendary,Normal
61180,Mage,Spell,Rare,Fire
64438,Mage,Minion,Legendary,Normal
61663,Shaman,Minion,Legendary,Totem
64320,Shaman,Minion,Rare,Elemental
65682,Mage,Minion,Common,Beast
61606,Druid,Minion,Legendary,Normal
56527,Rogue,Minion,Epic,Normal
69721,Neutral,Minion,Common,Normal
63191,Warlock,Spell,Common,Shadow
69643,Warrior,Minion,Legendary,Normal
59553,Druid,Minion,Rare,Normal
59553,Shaman,Minion,Rare,Normal
62549,Neutral,Minion,Common,Normal
59539,Hunter,Spell,Epic,Normal
59539,Druid,Spell,Epic,Normal
57182,Neutral,Minion,Common,Normal
69528,Paladin,Minion,Rare,Normal
61649,Druid,Spell,Epic,Normal
63227,Druid,Minion,Legendary,Normal
61962,Druid,Spell,Rare,Normal
61962,Shaman,Spell,Rare,Normal
64709,Neutral,Minion,Common,Normal
69554,Neutral,Minion,Common,Normal
61580,Neutral,Minion,Common,Elemental
61189,Paladin,Weapon,Epic,Normal
57546,Paladin,Spell,Common,Holy
56501,Warlock,Spell,Common,Shadow
64277,Warrior,Minion,Common,Pirate
69695,Hunter,Weapon,Common,Normal
58931,Neutral,Minion,Legendary,Normal
65656,Warrior,Spell,Common,Normal
63252,Neutral,Minion,Rare,Beast
56483,Hunter,Minion,Common,Beast
69519,Warlock,Spell,Common,Fire
69551,Shaman,Spell,Common,Nature
59587,Paladin,Minion,Legendary,Normal
59587,Priest,Minion,Legendary,Normal
61192,Paladin,Minion,Legendary,Normal
69673,Neutral,Minion,Legendary,Normal
64546,Paladin,Minion,Legendary,Normal
62481,Neutral,Minion,Common,Normal
69529,Paladin,Spell,Rare,Holy
69508,Priest,Spell,Common,Holy
69509,Priest,Spell,Common,Holy
63726,Neutral,Minion,Rare,Normal
61685,Neutral,Minion,Epic,Normal
65140,Mage,Spell,Common,Fire
65606,Warlock,Minion,Rare,Demon
69728,Neutral,Minion,Rare,Normal
61944,Warlock,Spell,Rare,Shadow
61944,Priest,Spell,Rare,Shadow
69608,Mage,Spell,Common,Frost
69710,Neutral,Minion,Common,Elemental
61436,Priest,Spell,Epic,Shadow
64434,Mage,Spell,Epic,Fire
61136,Demon Hunter,Minion,Legendary,Normal
66176,Demon Hunter,Minion,Rare,Demon
61939,Demon Hunter,Spell,Common,Normal
59869,Demon Hunter,Spell,Common,Fel
63220,Warlock,Spell,Common,Fel
64703,Neutral,Minion,Common,Normal
65159,Hunter,Minion,Epic,Beast
56649,Demon Hunter,Minion,Rare,Demon
61948,Paladin,Minion,Rare,Normal
56482,Hunter,Minion,Common,Demon
56508,Warrior,Minion,Common,Demon
56624,Priest,Minion,Common,Demon
56387,Mage,Minion,Rare,Demon
61959,Shaman,Minion,Common,Elemental
61959,Mage,Minion,Common,Elemental
56676,Druid,Minion,Common,Demon
56519,Warlock,Minion,Rare,Demon
56392,Paladin,Minion,Rare,Murloc
56820,Neutral,Minion,Common,Demon
59410,Warrior,Spell,Common,Normal
61230,Shaman,Minion,Legendary,Normal
56385,Mage,Spell,Common,Arcane
61672,Neutral,Minion,Common,Normal
57191,Neutral,Minion,Rare,Normal
59691,Rogue,Minion,Legendary,Normal
59221,Priest,Spell,Rare,Shadow
69648,Neutral,Minion,Rare,Normal
62548,Neutral,Minion,Common,Normal
69550,Druid,Spell,Rare,Nature
61269,Demon Hunter,Minion,Common,Demon
61435,Priest,Spell,Common,Shadow
59164,Shaman,Minion,Legendary,Normal
58972,Neutral,Minion,Common,Normal
66288,Shaman,Spell,Common,Normal
63079,Paladin,Spell,Common,Holy
64373,Demon Hunter,Minion,Common,Demon
56684,Druid,Spell,Rare,Nature
69650,Neutral,Minion,Common,Beast
61952,Warrior,Minion,Common,Mech
64397,Demon Hunter,Minion,Legendary,Normal
59609,Mage,Minion,Legendary,Normal
59609,Rogue,Minion,Legendary,Normal
65584,Druid,Minion,Rare,Pirate
61690,Hunter,Spell,Epic,Normal
62921,Paladin,Spell,Common,Holy
59963,Paladin,Minion,Common,Normal
69657,Neutral,Minion,Common,Beast
61676,Neutral,Minion,Rare,Normal
63215,Warlock,Minion,Common,Normal
56622,Neutral,Minion,Legendary,Normal
56534,Warlock,Minion,Legendary,Normal
62586,Neutral,Minion,Legendary,Normal
56510,Warrior,Minion,Legendary,Normal
58202,Demon Hunter,Minion,Legendary,Normal
62588,Neutral,Minion,Legendary,Normal
57326,Warlock,Minion,Legendary,Normal
61174,Neutral,Minion,Legendary,Normal
61956,Mage,Minion,Legendary,Normal
61956,Rogue,Minion,Legendary,Normal
63277,Neutral,Minion,Common,Elemental
69601,Hunter,Minion,Legendary,Beast
69656,Neutral,Minion,Legendary,Beast
61605,Druid,Minion,Legendary,Normal
61620,Neutral,Minion,Common,Normal
62924,Paladin,Minion,Common,Normal
69539,Neutral,Minion,Common,Normal
64346,Druid,Spell,Rare,Normal
63007,Hunter,Minion,Epic,Normal
64467,Demon Hunter,Minion,Legendary,Normal
63375,Warrior,Minion,Legendary,Beast
58980,Hunter,Minion,Epic,Beast
69615,Priest,Minion,Rare,Normal
63260,Demon Hunter,Minion,Legendary,Normal
59013,Mage,Minion,Common,Normal
63332,Druid,Minion,Legendary,Normal
57476,Paladin,Minion,Legendary,Normal
64726,Neutral,Minion,Legendary,Normal
56420,Shaman,Minion,Legendary,Normal
59452,Neutral,Minion,Common,Beast
69737,Warlock,Minion,Common,Demon
69685,Druid,Spell,Common,Nature
61961,Shaman,Spell,Rare,Nature
64964,Hunter,Weapon,Rare,Normal
56554,Paladin,Spell,Epic,Holy
61949,Paladin,Weapon,Common,Normal
56394,Paladin,Spell,Common,Holy
56555,Paladin,Spell,Rare,Holy
64367,Paladin,Weapon,Epic,Normal
60016,Druid,Spell,Common,Nature
60016,Shaman,Spell,Common,Nature
69625,Shaman,Spell,Common,Nature
69629,Shaman,Spell,Rare,Nature
62874,Priest,Minion,Rare,Elemental
69618,Priest,Minion,Common,Elemental
61946,Priest,Minion,Rare,Elemental
63279,Shaman,Minion,Epic,Elemental
61123,Demon Hunter,Minion,Common,Normal
64688,Demon Hunter,Weapon,Epic,Normal
64719,Neutral,Minion,Common,Normal
63030,Druid,Spell,Rare,Nature
64363,Rogue,Minion,Common,Beast
69690,Hunter,Spell,Epic,Normal
69724,Neutral,Minion,Rare,Normal
69665,Neutral,Minion,Common,Normal
59411,Warrior,Minion,Legendary,Normal
59411,Paladin,Minion,Legendary,Normal
69637,Warlock,Hero,Legendary,Normal
60278,Neutral,Minion,Legendary,Normal
64291,Druid,Spell,Legendary,Normal
64199,Warrior,Minion,Legendary,Normal
61191,Paladin,Minion,Legendary,Demon
61941,Warlock,Minion,Rare,Normal
61941,Demon Hunter,Minion,Rare,Normal
61449,Druid,Spell,Common,Arcane
62483,Neutral,Minion,Common,Murloc
62484,Neutral,Minion,Common,Murloc
69662,Neutral,Minion,Common,Normal
65699,Neutral,Minion,Epic,Normal
64673,Rogue,Minion,Legendary,Normal
59230,Demon Hunter,Minion,Rare,Normal
61229,Shaman,Minion,Epic,Murloc
58549,Neutral,Minion,Legendary,Demon
57197,Neutral,Minion,Legendary,Normal
64718,Neutral,Minion,Rare,Normal
61169,Rogue,Spell,Epic,Normal
66869,Neutral,Minion,Legendary,Dragon
65691,Warrior,Spell,Common,Normal
61203,Warlock,Minion,Common,Demon
63373,Warrior,Minion,Common,Normal
69631,Shaman,Minion,Rare,Totem
59259,Neutral,Minion,Common,Beast
63591,Neutral,Minion,Legendary,Normal
63114,Druid,Spell,Rare,Nature
69511,Druid,Spell,Rare,Nature
59089,Demon Hunter,Weapon,Common,Normal
56685,Druid,Minion,Epic,Beast
56472,Shaman,Minion,Common,Elemental
61179,Mage,Spell,Rare,Shadow
61842,Hunter,Minion,Legendary,Normal
63396,Neutral,Minion,Common,Normal
69731,Shaman,Minion,Common,Elemental
69686,Druid,Minion,Common,Normal
64629,Demon Hunter,Minion,Common,Murloc
56899,Demon Hunter,Spell,Legendary,Fel
61206,Warlock,Minion,Common,Demon
59643,Priest,Minion,Legendary,Normal
61238,Warrior,Spell,Common,Normal
69719,Neutral,Minion,Epic,Normal
69609,Mage,Spell,Common,Arcane
61960,Shaman,Minion,Common,Normal
57193,Neutral,Minion,Epic,Demon
64716,Neutral,Minion,Common,Demon
56694,Hunter,Minion,Rare,Beast
59214,Shaman,Spell,Rare,Fire
65602,Hunter,Minion,Common,Beast
61973,Neutral,Minion,Legendary,Beast
65583,Druid,Spell,Rare,Arcane
61602,Druid,Spell,Rare,Normal
63124,Warrior,Minion,Epic,Normal
62585,Neutral,Minion,Rare,Normal
63064,Mage,Minion,Legendary,Normal
69553,Warlock,Spell,Common,Shadow
58770,Mage,Minion,Legendary,Normal
65599,Neutral,Minion,Legendary,Pirate
65704,Neutral,Minion,Rare,Pirate
56444,Paladin,Minion,Legendary,Murloc
69675,Neutral,Minion,Rare,Murloc
69557,Neutral,Minion,Common,Murloc
69723,Neutral,Minion,Common,Murloc
63398,Neutral,Minion,Legendary,Murloc
61682,Hunter,Minion,Common,Normal
60443,Neutral,Minion,Legendary,Normal
56827,Hunter,Spell,Epic,Normal
69617,Priest,Minion,Legendary,Normal
59163,Druid,Spell,Common,Nature
61642,Priest,Minion,Rare,Normal
65608,Demon Hunter,Spell,Common,Normal
63219,Warlock,Minion,Legendary,Normal
69713,Neutral,Minion,Rare,Normal
56985,Demon Hunter,Minion,Common,Normal
56386,Mage,Spell,Common,Arcane
56502,Warlock,Minion,Common,Demon
61953,Rogue,Spell,Common,Nature
61953,Warrior,Spell,Common,Nature
64525,Paladin,Spell,Rare,Normal
69610,Paladin,Spell,Common,Normal
64722,Neutral,Minion,Epic,Normal
63069,Shaman,Spell,Rare,Normal
62490,Druid,Minion,Rare,Normal
64712,Neutral,Minion,Common,Normal
62927,Paladin,Minion,Rare,Normal
69594,Druid,Spell,Rare,Nature
62442,Shaman,Minion,Common,Normal
66870,Neutral,Minion,Legendary,Dragon
63553,Mage,Spell,Common,Frost
62705,Neutral,Minion,Common,Beast
61584,Mage,Minion,Epic,Normal
59918,Neutral,Minion,Common,Normal
61187,Paladin,Spell,Epic,Shadow
62887,Rogue,Minion,Rare,Normal
58971,Neutral,Minion,Common,Dragon
66866,Neutral,Minion,Legendary,Dragon
61683,Hunter,Spell,Common,Normal
61625,Neutral,Minion,Common,Normal
64201,Druid,Minion,Epic,Normal
63118,Warrior,Weapon,Rare,Normal
57190,Neutral,Minion,Common,Normal
64773,Shaman,Spell,Epic,Normal
56680,Druid,Spell,Common,Nature
66858,Neutral,Minion,Legendary,Normal
63274,Warrior,Minion,Legendary,Normal
59449,Hunter,Spell,Rare,Normal
62750,Hunter,Minion,Common,Beast
56484,Hunter,Spell,Rare,Normal
64705,Neutral,Minion,Common,Normal
61282,Priest,Spell,Rare,Shadow
64713,Neutral,Minion,Common,Normal
61235,Neutral,Minion,Common,Normal
62892,Rogue,Spell,Rare,Nature
64337,Druid,Minion,Rare,Beast
65598,Rogue,Spell,Rare,Normal
59456,Druid,Spell,Rare,Normal
63102,Paladin,Spell,Rare,Normal
69624,Rogue,Minion,Epic,Normal
64372,Neutral,Minion,Common,Normal
59039,Neutral,Minion,Common,Normal
62703,Neutral,Minion,Common,Normal
63098,Shaman,Spell,Rare,Fire
64395,Demon Hunter,Minion,Rare,Normal
61700,Hunter,Spell,Rare,Normal
62812,Hunter,Spell,Common,Normal
58243,Demon Hunter,Minion,Epic,Demon
61225,Shaman,Minion,Rare,Normal
59877,Rogue,Spell,Common,Normal
69708,Rogue,Minion,Common,Normal
59948,Neutral,Minion,Common,Dragon
63042,Druid,Minion,Legendary,Quilboar
59101,Warrior,Minion,Epic,Normal
69736,Warlock,Minion,Common,Normal
59621,Mage,Spell,Epic,Arcane
59621,Rogue,Spell,Epic,Arcane
69689,Druid,Spell,Common,Normal
69567,Priest,Spell,Common,Holy
59572,Priest,Spell,Rare,Normal
62872,Priest,Spell,Common,Holy
